5,1.50411,1.44318,1.50517,1.50479,6.84094,6.88619,6.87764,6.89854
10,2.88853,2.91439,2.93609,2.98118,13.6876,13.6062,13.7483,13.7662
15,4.36177,4.35299,4.40496,4.53259,20.3858,20.37,20.399,20.3933
20,5.81477,5.8225,5.84464,5.81463,27.8359,27.6329,27.9314,27.5191
,Parallel,Serial,,,,,,
5,1.4893,6.8758,,,,,,
10,2.93,13.702,,,,,,
15,4.413,20.387,,,,,,
20,5.8241,27.7298,,,,,,
